21 21
0.000000 0.000000 8.757796
0.250000 0.000000 9.852521
0.500000 0.000000 10.947246
0.750000 0.000000 12.041970
1.000000 0.000000 13.136695
1.250000 0.000000 14.231420
1.500000 0.000000 15.326144
1.750000 0.000000 16.420868
2.000000 0.000000 17.515593
2.250000 0.000000 18.610317
2.500000 0.000000 19.705042
2.750000 0.000000 20.799767
3.000000 0.000000 21.894491
3.250000 0.000000 22.989216
3.500000 0.000000 24.083941
3.750000 0.000000 25.178665
4.000000 0.000000 26.273390
4.250000 0.000000 27.368114
4.500000 0.000000 28.462839
4.750000 0.000000 29.557564
5.000000 0.000000 30.652288
0.000000 0.250000 0.150113
0.250000 0.250000 0.676431
0.500000 0.250000 1.874196
0.750000 0.250000 3.485351
1.000000 0.250000 5.150627
1.250000 0.250000 6.497507
1.500000 0.250000 7.231423
1.750000 0.250000 7.207888
2.000000 0.250000 6.467861
2.250000 0.250000 5.227726
2.500000 0.250000 3.826309
2.750000 0.250000 2.641924
3.000000 0.250000 1.999749
3.250000 0.250000 2.092209
3.500000 0.250000 2.931865
3.750000 0.250000 4.348338
4.000000 0.250000 6.030025
4.250000 0.250000 7.600389
4.500000 0.250000 8.710148
4.750000 0.250000 9.122793
5.000000 0.250000 8.772492
0.000000 0.500000 5.195346
0.250000 0.500000 6.859873
0.500000 0.500000 9.867293
0.750000 0.500000 13.701493
1.000000 0.500000 17.643936
1.250000 0.500000 20.949585
1.500000 0.500000 23.029308
1.750000 0.500000 23.594128
2.000000 0.500000 22.725964
2.250000 0.500000 20.857584
2.500000 0.500000 18.666639
2.750000 0.500000 16.909760
3.000000 0.500000 16.237301
3.250000 0.500000 17.034111
3.500000 0.500000 19.325312
3.750000 0.500000 22.770149
4.000000 0.500000 26.745413
4.250000 0.500000 30.498030
4.500000 0.500000 33.329437
4.750000 0.500000 34.766617
5.000000 0.500000 34.677910
0.000000 0.750000 19.254930
0.250000 0.750000 23.184462
0.500000 0.750000 29.128330
0.750000 0.750000 36.312370
1.000000 0.750000 43.658772
1.250000 0.750000 50.049984
1.500000 0.750000 54.602310
1.750000 0.750000 56.882278
2.000000 0.750000 57.012772
2.250000 0.750000 55.642941
2.500000 0.750000 53.789261
2.750000 0.750000 52.586681
3.000000 0.750000 53.010731
3.250000 0.750000 55.638687
3.500000 0.750000 60.508228
3.750000 0.750000 67.108223
4.000000 0.750000 74.503860
4.250000 0.750000 81.565521
4.500000 0.750000 87.245377
4.750000 0.750000 90.833885
5.000000 0.750000 92.133553
0.000000 1.000000 29.402554
0.250000 1.000000 35.108093
0.500000 1.000000 43.499416
0.750000 1.000000 53.544296
1.000000 1.000000 63.805668
1.250000 1.000000 72.793449
1.500000 1.000000 79.329376
1.750000 1.000000 82.835503
2.000000 1.000000 83.475655
2.250000 1.000000 82.115379
2.500000 1.000000 80.109970
2.750000 1.000000 78.972694
3.000000 1.000000 80.004257
3.250000 1.000000 83.974358
3.500000 1.000000 90.933250
3.750000 1.000000 100.199402
4.000000 1.000000 110.526413
4.250000 1.000000 120.408134
4.500000 1.000000 128.447433
4.750000 1.000000 133.698273
5.000000 1.000000 135.897339
